,trimestre,uf_nome,variavel,condicao,valor,uf,trimestre_fim
110,202003,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,228,AL,202009
111,202004,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1274,AL, 202012
112,202004,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,260,AL, 202012
113,202001,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho,1083,SE,202003
114,202001,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,171,SE,202003
115,202002,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho,1006,SE,202006
116,202002,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,205,SE,202006
117,202003,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho,990,SE,202009
118,202003,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,206,SE,202009
119,202004,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho,1056,SE, 202012
120,202004,Sergipe,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,193,SE, 202012
121,202001,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho,7081,BA,202003
122,202001,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1333,BA,202003
123,202002,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho,6125,BA,202006
124,202002,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1256,BA,202006
125,202003,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho,6246,BA,202009
126,202003,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1321,BA,202009
127,202004,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho,6614,BA, 202012
128,202004,Bahia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1372,BA, 202012
129,202001,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho,11286,MG,202003
130,202001,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1320,MG,202003
131,202002,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho,10507,MG,202006
132,202002,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1385,MG,202006
133,202003,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho,10605,MG,202009
134,202003,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1443,MG,202009
135,202004,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho,10785,MG, 202012
136,202004,Minas Gerais,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1344,MG, 202012
137,202001,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho,2155,ES,202003
138,202001,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,243,ES,202003
139,202002,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho,2022,ES,202006
140,202002,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,255,ES,202006
141,202003,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho,2086,ES,202009
142,202003,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,296,ES,202009
143,202004,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho,2099,ES, 202012
144,202004,Espírito Santo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,282,ES, 202012
145,202001,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho,8942,RJ,202003
146,202001,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1313,RJ,202003
147,202002,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho,8050,RJ,202006
148,202002,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1349,RJ,202006
149,202003,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho,8104,RJ,202009
150,202003,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1567,RJ,202009
151,202004,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho,8360,RJ, 202012
152,202004,Rio de Janeiro,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,1641,RJ, 202012
153,202001,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho,25654,SP,202003
154,202001,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,3151,SP,202003
155,202002,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho,23318,SP,202006
156,202002,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,3247,SP,202006
157,202003,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho,23411,SP,202009
158,202003,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,3613,SP,202009
159,202004,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho,24246,SP, 202012
160,202004,São Paulo,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,3589,SP, 202012
161,202001,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho,6085,PR,202003
162,202001,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,487,PR,202003
163,202002,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho,5999,PR,202006
164,202002,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,577,PR,202006
165,202003,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho,5851,PR,202009
166,202003,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,617,PR,202009
167,202004,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho,6040,PR, 202012
168,202004,Paraná,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,608,PR, 202012
169,202001,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho,3896,SC,202003
170,202001,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,223,SC,202003
171,202002,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho,3813,SC,202006
172,202002,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,275,SC,202006
173,202003,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho,3784,SC,202009
174,202003,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,253,SC,202009
175,202004,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho,3790,SC, 202012
176,202004,Santa Catarina,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,204,SC, 202012
177,202001,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,6197,RS,202003
178,202001,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,529,RS,202003
179,202002,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,5806,RS,202006
180,202002,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,562,RS,202006
181,202003,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,5711,RS,202009
182,202003,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,601,RS,202009
183,202004,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,5863,RS, 202012
184,202004,Rio Grande do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,507,RS, 202012
185,202001,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,1406,MS,202003
186,202001,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,111,MS,202003
187,202002,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,1327,MS,202006
188,202002,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,155,MS,202006
189,202003,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,1329,MS,202009
190,202003,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,157,MS,202009
191,202004,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho,1354,MS, 202012
192,202004,Mato Grosso do Sul,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,129,MS, 202012
193,202001,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho,1842,MT,202003
194,202001,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,158,MT,202003
195,202002,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho,1779,MT,202006
196,202002,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,182,MT,202006
197,202003,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho,1780,MT,202009
198,202003,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,181,MT,202009
199,202004,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho,1851,MT, 202012
200,202004,Mato Grosso,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,197,MT, 202012
201,202001,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho,3765,GO,202003
202,202001,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,434,GO,202003
203,202002,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho,3511,GO,202006
204,202002,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,456,GO,202006
205,202003,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho,3541,GO,202009
206,202003,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,479,GO,202009
207,202004,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho,3580,GO, 202012
208,202004,Goiás,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,456,GO, 202012
209,202001,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho,1677,DF,202003
210,202001,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,228,DF,202003
211,202002,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho,1552,DF,202006
212,202002,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,242,DF,202006
213,202003,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho,1581,DF,202009
214,202003,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,248,DF,202009
215,202004,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho,1625,DF, 202012
216,202004,Distrito Federal,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,235,DF, 202012
